title,deal_price
RAGE 2 (English/Chinese/Korean Ver.),"Rp 144,750"
Onimusha: Warlords (English/Chinese/Japanese Ver.),"Rp 110,400"
"Steep™ – X Games Gold Edition (Simplified Chinese, English, Traditional Chinese)","Rp 114,750"
"GreedFall - Gold Edition (Simplified Chinese, English)","Rp 202,650"
"Far Cry®3 Classic Edition - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 118,470"
"WWE 2K Battlegrounds Digital Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 311,600"
Batman: Return to Arkham (English Ver.),"Rp 55,800"
KNACK full game (English/Chinese/Korean Ver.),"Rp 149,500"
Middle-earth™: Shadow of Mordor™ - Game of the Year Edition (English Ver.),"Rp 53,200"
Mad Max - PlayStation®Hits (English Ver.),"Rp 55,800"
LocoRoco™2 Remastered (English/Chinese/Korean Ver.),"Rp 103,600"
Prey (English/Chinese Ver.),"Rp 87,250"
Prey: Digital Deluxe Edition (English/Chinese Ver.),"Rp 116,500"
PREY: Mooncrash (English/Chinese Ver.),"Rp 93,200"
"UNO (Simplified Chinese, English, Traditional Chinese)","Rp 41,400"
"UNO® Ultimate Edition (Simplified Chinese, English, Traditional Chinese)","Rp 61,500"
"Empire of Angels IV (Simplified Chinese, English, Traditional Chinese)","Rp 139,500"
"Empire of Angels IV (Simplified Chinese, English, Traditional Chinese)","Rp 139,500"
The LEGO Movie 2 Videogame (English/Chinese/Korean Ver.),"Rp 118,000"
OKAMI HD (English/Japanese Ver.),"Rp 132,500"
"Titan Quest (Simplified Chinese, English, Korean, Japanese)","Rp 150,150"
Unravel (English Ver.),"Rp 60,500"
MudRunner - American Wilds Expansion (English Ver.),"Rp 47,600"
The Disney Afternoon Collection (English Ver.),"Rp 67,000"
"Grand Theft Auto V: Premium Edition (English, Korean, Traditional Chinese)","Rp 214,500"
"Grand Theft Auto V (PlayStation®5) (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 314,500"
GTA+: Megalodon Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),Unavailable
GTA Online: Megalodon Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 969,850"
Megalodon  Shark Cash Card (English/Chinese/Korean Ver.),"Rp 969,850"
"Red Dead Redemption 2 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 296,000"
"Red Dead Online (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 139,500"
"Far Cry 6 - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 299,600"
"Stray (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 343,200"
"ACE COMBAT™ 7: SKIES UNKNOWN (English, Japanese)","Rp 136,000"
ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Aircraft Set- (English Ver.),"Rp 195,300"
ACE COMBAT™ 7: SKIES UNKNOWN Season Pass (English Ver.),"Rp 100,000"
ACE COMBAT™ 7: SKIES UNKNOWN 25th Anniversary DLC - Experimental Aircraft Series Set (Add-On),"Rp 74,500"
ACE COMBAT™ 7: SKIES UNKNOWN 25th Anniversary DLC - Original Aircraft Series – Set (Add-On),"Rp 74,500"
"RESIDENT EVIL 2 Deluxe Edition (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 207,300"
"Resident Evil Village PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 415,500"
Extra Content Shop All Access Voucher PS4 & PS5 (English/Chinese/Korean/Japanese Ver.),"Rp 56,800"
Mr. Raccoon Weapon Charm PS4 & PS5 (English/Chinese/Korean/Japanese Ver.),"Rp 12,000"
Survival Resources Pack PS4 & PS5 (English/Chinese/Korean/Japanese Ver.),"Rp 12,000"
"God of War Digital Deluxe Edition (English, Korean, Traditional Chinese)","Rp 214,500"
"Marvel's Spider-Man Game Of The Year Edition (English, Korean, Traditional Chinese)","Rp 289,500"
"Tiny Tina's Wonderlands: Next-Level Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 630,000"
WWE 2K22 for PS5™ (English),"Rp 499,500"
WWE 2K22 for PS4™ (English),"Rp 429,500"
Alt Heroine Colors (English/Chinese/Korean/Japanese Ver.),"Rp 33,000"
Alt Style Rank Announcers (English/Chinese/Korean/Japanese Ver.),"Rp 11,250"
Alt Title Calls (English/Chinese/Korean/Japanese Ver.),"Rp 11,250"
Cavaliere R (English/Chinese/Korean/Japanese Ver.),"Rp 33,000"
DMC1 Battle Track 3-Pack (English/Chinese/Korean/Japanese Ver.),"Rp 22,500"
DMC2 Battle Track 3-Pack (English/Chinese/Korean/Japanese Ver.),"Rp 22,500"
DMC3 Battle Track 3-Pack (English/Chinese/Korean/Japanese Ver.),"Rp 22,500"
DMC4 Battle Track 3-Pack (English/Chinese/Korean/Japanese Ver.),"Rp 22,500"
Gerbera GP01 (English/Chinese/Korean/Japanese Ver.),"Rp 11,250"
Live Action Cutscenes (English/Chinese/Korean/Japanese Ver.),"Rp 44,250"
Mega Buster (English/Chinese/Korean/Japanese Ver.),"Rp 33,000"
Pasta Breaker (English/Chinese/Korean/Japanese Ver.),"Rp 11,250"
Sweet Surrender (English/Chinese/Korean/Japanese Ver.),"Rp 33,000"
DMC5 - Playable Character: Vergil (English/Chinese/Korean/Japanese Ver.),"Rp 52,500"
DMC5 - Vergil Early Unlock Pack (Add-On),"Rp 42,000"
DMC5 -Super Vergil Unlock (English/Chinese/Korean/Japanese Ver.),"Rp 30,750"
DMC5 -Vergil Battle Track 4-Pack (English/Chinese/Korean/Japanese Ver.),"Rp 21,750"
DMC5 -Vergil EX Provocation (English/Chinese/Korean/Japanese Ver.),"Rp 21,750"
Taunt Trio (English/Chinese/Korean/Japanese Ver.),"Rp 42,000"
V ＆ Vergil Alt Colors (English/Chinese/Korean/Japanese Ver.),"Rp 22,500"
Additional Face Paint Bundle (English/Chinese/Korean/Japanese Ver.),"Rp 11,200"
Deluxe Kit (English/Chinese/Korean/Japanese Ver.),"Rp 104,250"
